# UTENTES
---------
ID: 1   | Prioridade: G  | Entrada: 18024  | Tempos: tr: 68, C: 815                
ID: 34  | Prioridade: G  | Entrada: 1453   | Tempos: tr: 78, B: 527                
ID: 35  | Prioridade: G  | Entrada: 19188  | Tempos: tr: 18, B: 579                
ID: 36  | Prioridade: R  | Entrada: 17984  | Tempos: tr: 168, C: 616, te: 92, C_volta: 186
ID: 37  | Prioridade: P  | Entrada: 28070  | Tempos: tr: 105, C: 669               
ID: 38  | Prioridade: P  | Entrada: 8550   | Tempos: tr: 162, A: 1225, te: 74      
ID: 39  | Prioridade: G  | Entrada: 18489  | Tempos: tr: 52, B: 1088               
ID: 40  | Prioridade: G  | Entrada: 20388  | Tempos: tr: 35, B: 272                
ID: 41  | Prioridade: G  | Entrada: 27716  | Tempos: tr: 67, B: 596                
ID: 42  | Prioridade: G  | Entrada: 930    | Tempos: tr: 97, A: 748                
ID: 43  | Prioridade: G  | Entrada: 16699  | Tempos: tr: 114, A: 1098              
ID: 44  | Prioridade: G  | Entrada: 21772  | Tempos: tr: 8, A: 1062, te: 119       
ID: 45  | Prioridade: G  | Entrada: 12391  | Tempos: tr: 59, B: 737, te: 137       
ID: 46  | Prioridade: P  | Entrada: 16598  | Tempos: tr: 53, B: 829, te: 4         
ID: 47  | Prioridade: G  | Entrada: 17418  | Tempos: tr: 99, A: 1202               
ID: 48  | Prioridade: G  | Entrada: 15368  | Tempos: tr: 88, A: 322, te: 102       
ID: 49  | Prioridade: G  | Entrada: 20215  | Tempos: tr: 27, A: 302                
ID: 50  | Prioridade: G  | Entrada: 22796  | Tempos: tr: 91, B: 308                
ID: 51  | Prioridade: G  | Entrada: 27433  | Tempos: tr: 128, B: 775               
ID: 52  | Prioridade: P  | Entrada: 3666   | Tempos: tr: 80, B: 522, te: 60        
ID: 53  | Prioridade: G  | Entrada: 9229   | Tempos: tr: 62, B: 1                  
ID: 54  | Prioridade: P  | Entrada: 19377  | Tempos: tr: 32, B: 790                
ID: 55  | Prioridade: G  | Entrada: 23880  | Tempos: tr: 55, B: 343                
ID: 56  | Prioridade: G  | Entrada: 19094  | Tempos: tr: 5, B: 520                 
ID: 57  | Prioridade: G  | Entrada: 19905  | Tempos: tr: 99, B: 348                
ID: 58  | Prioridade: G  | Entrada: 15375  | Tempos: tr: 150, A: 1794              
ID: 59  | Prioridade: G  | Entrada: 9685   | Tempos: tr: 157, te: 122              
ID: 60  | Prioridade: G  | Entrada: 24265  | Tempos: tr: 47, B: 589, te: 113       
ID: 61  | Prioridade: P  | Entrada: 26448  | Tempos: tr: 80, B: 207                
ID: 62  | Prioridade: P  | Entrada: 15622  | Tempos: tr: 103, A: 1311              
ID: 63  | Prioridade: G  | Entrada: 14515  | Tempos: tr: 94, te: 120               
ID: 64  | Prioridade: P  | Entrada: 25891  | Tempos: tr: 39, B: 659                
ID: 65  | Prioridade: G  | Entrada: 6866   | Tempos: tr: 85, A: 1390               
ID: 66  | Prioridade: G  | Entrada: 17053  | Tempos: tr: 5, B: 392                 
ID: 67  | Prioridade: G  | Entrada: 10062  | Tempos: tr: 60, A: 1094               
ID: 68  | Prioridade: G  | Entrada: 15850  | Tempos: tr: 71, B: 1186, te: 74       
ID: 69  | Prioridade: G  | Entrada: 11668  | Tempos: tr: 25, A: 409                
ID: 70  | Prioridade: P  | Entrada: 28035  | Tempos: tr: 103, A: 1199              
ID: 71  | Prioridade: G  | Entrada: 7250   | Tempos: tr: 10, C: 883, te: 72        
ID: 72  | Prioridade: G  | Entrada: 14818  | Tempos: tr: 19, A: 1679               
ID: 73  | Prioridade: P  | Entrada: 19534  | Tempos: tr: 117, A: 742               
ID: 74  | Prioridade: G  | Entrada: 18031  | Tempos: tr: 46, A: 224                
ID: 75  | Prioridade: G  | Entrada: 8291   | Tempos: tr: 6, B: 739                 
ID: 76  | Prioridade: P  | Entrada: 27827  | Tempos: tr: 11, B: 640                
ID: 77  | Prioridade: R  | Entrada: 20433  | Tempos: tr: 154, A: 137, te: 114, A_volta: 1082
ID: 78  | Prioridade: G  | Entrada: 11772  | Tempos: tr: 12, C: 592, te: 111       
ID: 79  | Prioridade: G  | Entrada: 20650  | Tempos: tr: 39, C: 865                
ID: 80  | Prioridade: G  | Entrada: 9942   | Tempos: tr: 34, B: 996                
ID: 81  | Prioridade: G  | Entrada: 18675  | Tempos: tr: 113, B: 106, te: 27       
ID: 82  | Prioridade: G  | Entrada: 8770   | Tempos: tr: 14, B: 827, te: 45        
ID: 83  | Prioridade: G  | Entrada: 21758  | Tempos: tr: 31, A: 1331               
ID: 84  | Prioridade: G  | Entrada: 11353  | Tempos: tr: 175, A: 662, te: 70       
ID: 85  | Prioridade: G  | Entrada: 26381  | Tempos: tr: 5, B: 386, te: 44         
ID: 86  | Prioridade: G  | Entrada: 23842  | Tempos: tr: 42, C: 689                
ID: 87  | Prioridade: G  | Entrada: 27875  | Tempos: tr: 54, B: 192, te: 67        
ID: 88  | Prioridade: P  | Entrada: 10774  | Tempos: tr: 89, B: 246                
ID: 89  | Prioridade: G  | Entrada: 16223  | Tempos: tr: 59, te: 115               
ID: 90  | Prioridade: G  | Entrada: 16030  | Tempos: tr: 60, B: 365                
ID: 91  | Prioridade: G  | Entrada: 25254  | Tempos: tr: 85, B: 638, te: 95        
ID: 92  | Prioridade: G  | Entrada: 23104  | Tempos: tr: 27, C: 918, te: 0         
ID: 93  | Prioridade: P  | Entrada: 19244  | Tempos: tr: 63, te: 109               
ID: 94  | Prioridade: P  | Entrada: 12558  | Tempos: tr: 44, te: 79                
ID: 95  | Prioridade: G  | Entrada: 8914   | Tempos: tr: 2, B: 794                 
ID: 96  | Prioridade: G  | Entrada: 21562  | Tempos: tr: 53, A: 585                
ID: 97  | Prioridade: G  | Entrada: 11705  | Tempos: tr: 59, A: 1761               
ID: 98  | Prioridade: G  | Entrada: 19928  | Tempos: tr: 82, te: 60                
ID: 99  | Prioridade: G  | Entrada: 16533  | Tempos: tr: 43, A: 196                
ID: 100 | Prioridade: G  | Entrada: 3414   | Tempos: tr: 97, B: 313                
ID: 101 | Prioridade: R  | Entrada: 16523  | Tempos: tr: 40, B: 180, te: 60, B_volta: 381
ID: 102 | Prioridade: G  | Entrada: 15890  | Tempos: tr: 141, B: 711               
ID: 103 | Prioridade: G  | Entrada: 20501  | Tempos: tr: 36, A: 1133               
ID: 104 | Prioridade: R  | Entrada: 15053  | Tempos: tr: 86, C: 637, te: 77, C_volta: 56
ID: 105 | Prioridade: P  | Entrada: 24739  | Tempos: tr: 160, A: 151               
ID: 106 | Prioridade: R  | Entrada: 6435   | Tempos: tr: 4, A: 191, te: 105, A_volta: 802
ID: 107 | Prioridade: G  | Entrada: 10651  | Tempos: tr: 72, A: 1137               
ID: 108 | Prioridade: G  | Entrada: 17895  | Tempos: tr: 70, B: 626                
ID: 109 | Prioridade: G  | Entrada: 21176  | Tempos: tr: 96, B: 893, te: 66        
ID: 110 | Prioridade: G  | Entrada: 14356  | Tempos: tr: 94, B: 415                
ID: 111 | Prioridade: R  | Entrada: 18496  | Tempos: tr: 137, B: 288, te: 47, B_volta: 196
ID: 112 | Prioridade: R  | Entrada: 20891  | Tempos: tr: 28, C: 72, te: 110, C_volta: 604
ID: 113 | Prioridade: G  | Entrada: 21087  | Tempos: tr: 42, A: 1388               
ID: 114 | Prioridade: G  | Entrada: 28376  | Tempos: tr: 120, B: 481               
ID: 115 | Prioridade: G  | Entrada: 11578  | Tempos: tr: 100, A: 1593              
ID: 116 | Prioridade: G  | Entrada: 24004  | Tempos: tr: 23, B: 397                
ID: 117 | Prioridade: G  | Entrada: 15449  | Tempos: tr: 45, B: 460, te: 55        
ID: 118 | Prioridade: G  | Entrada: 16802  | Tempos: tr: 5, B: 224                 
ID: 119 | Prioridade: G  | Entrada: 16076  | Tempos: tr: 58, B: 174                
ID: 120 | Prioridade: G  | Entrada: 4705   | Tempos: tr: 60, B: 1168, te: 104      
ID: 121 | Prioridade: G  | Entrada: 10791  | Tempos: tr: 40, te: 4                 
ID: 122 | Prioridade: G  | Entrada: 18000  | Tempos: tr: 42, A: 259                
ID: 123 | Prioridade: P  | Entrada: 20174  | Tempos: tr: 91, te: 109               
ID: 124 | Prioridade: G  | Entrada: 26258  | Tempos: tr: 7, A: 443                 
ID: 125 | Prioridade: G  | Entrada: 8681   | Tempos: tr: 40, B: 5, te: 127         
ID: 126 | Prioridade: R  | Entrada: 3684   | Tempos: tr: 4, C: 142, te: 85, C_volta: 60
ID: 127 | Prioridade: P  | Entrada: 19085  | Tempos: tr: 18, B: 883                
ID: 128 | Prioridade: P  | Entrada: 19829  | Tempos: tr: 21, B: 293                
ID: 129 | Prioridade: G  | Entrada: 18092  | Tempos: tr: 38, B: 468                
ID: 130 | Prioridade: G  | Entrada: 13207  | Tempos: tr: 28, B: 336                
ID: 131 | Prioridade: G  | Entrada: 12462  | Tempos: tr: 116, C: 836, te: 12       
ID: 132 | Prioridade: R  | Entrada: 9709   | Tempos: tr: 44, C: 960, te: 92, C_volta: 170
ID: 133 | Prioridade: G  | Entrada: 2780   | Tempos: tr: 105, C: 778, te: 63       
ID: 134 | Prioridade: G  | Entrada: 8203   | Tempos: tr: 87, B: 459                
ID: 135 | Prioridade: G  | Entrada: 18287  | Tempos: tr: 97, A: 1665               
ID: 136 | Prioridade: G  | Entrada: 3571   | Tempos: tr: 48, B: 658                
ID: 137 | Prioridade: G  | Entrada: 19206  | Tempos: tr: 106, B: 155               
ID: 138 | Prioridade: P  | Entrada: 26010  | Tempos: tr: 83, te: 137               
ID: 139 | Prioridade: G  | Entrada: 25273  | Tempos: tr: 89, te: 80                
ID: 140 | Prioridade: G  | Entrada: 27786  | Tempos: tr: 14, te: 24                
ID: 141 | Prioridade: G  | Entrada: 28249  | Tempos: tr: 135, A: 580               
ID: 142 | Prioridade: G  | Entrada: 21400  | Tempos: tr: 90, B: 486                
---------

# TABELA
--------
| Clock  | Evento             | Utente | Próx. chegada | Fila triagem                                                 | Estado tr. | Partida tr. | Fila balcões A                                               | Estado A1   | Partida A1   | Estado A2   | Partida A2   | Fila balcões B                                               | Estado B1   | Partida B1   | Estado B2   | Partida B2   | Fila balcão C                                                | Estado C1   | Partida C1   | Fila tesouraria                                              | Estado te. | Partida te. |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 0      | ------             | ------ | 475           | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 475    | chegada            | G23    | 930           | P:  G:                                                       | G23        | 574         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 574    | partida_triagem    | G23    | 930           | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G23         | 983          | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 930    | chegada            | G42    | 1453          | P:  G:                                                       | G42        | 1027        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G23         | 983          | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 983    | partida_balcao_B1  | G23    | 1453          | P:  G:                                                       | G42        | 1027        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 1027   | partida_triagem    | G42    | 1453          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | G42         | 1775         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 1453   | chegada            | G34    | 2208          | P:  G:                                                       | G34        | 1531        | P:  G:                                                       | G42         | 1775         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 1531   | partida_triagem    | G34    | 2208          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | G42         | 1775         | None        | inf.         | P:  G:                                                       | G34         | 2058         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 1775   | partida_balcao_A1  | G42    | 2208          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G34         | 2058         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 2058   | partida_balcao_B1  | G34    | 2208          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 2208   | chegada            | G13    | 2780          | P:  G:                                                       | G13        | 2282        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 2282   | partida_triagem    | G13    | 2780          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G13         | 2562         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 2562   | partida_balcao_B1  | G13    | 2780          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 2780   | chegada            | G133   | 3096          | P:  G:                                                       | G133       | 2885        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 2885   | partida_triagem    | G133   | 3096          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G133        | 3663         | P:  G:                                                       | None       | inf.        |
| 3096   | chegada            | G2     | 3414          | P:  G:                                                       | G2         | 3195        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G133        | 3663         | P:  G:                                                       | None       | inf.        |
| 3195   | partida_triagem    | G2     | 3414          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G2          | 4053         | None        | inf.         | P:  G:                                                       | G133        | 3663         | P:  G:                                                       | None       | inf.        |
| 3414   | chegada            | G100   | 3571          | P:  G:                                                       | G100       | 3511        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G2          | 4053         | None        | inf.         | P:  G:                                                       | G133        | 3663         | P:  G:                                                       | None       | inf.        |
| 3511   | partida_triagem    | G100   | 3571          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G2          | 4053         | G100        | 3824         | P:  G:                                                       | G133        | 3663         | P:  G:                                                       | None       | inf.        |
| 3571   | chegada            | G136   | 3666          | P:  G:                                                       | G136       | 3619        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G2          | 4053         | G100        | 3824         | P:  G:                                                       | G133        | 3663         | P:  G:                                                       | None       | inf.        |
| 3619   | partida_triagem    | G136   | 3666          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G: 136                                                   | G2          | 4053         | G100        | 3824         | P:  G:                                                       | G133        | 3663         | P:  G:                                                       | None       | inf.        |
| 3663   | partida_balcao_C1  | G133   | 3666          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G: 136                                                   | G2          | 4053         | G100        | 3824         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | G133       | 3726        |
| 3666   | chegada            | P52    | 3684          | P:  G:                                                       | P52        | 3746        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G: 136                                                   | G2          | 4053         | G100        | 3824         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | G133       | 3726        |
| 3684   | chegada            | R126   | 4705          | P:  G: 126                                                   | P52        | 3746        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G: 136                                                   | G2          | 4053         | G100        | 3824         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | G133       | 3726        |
| 3726   | partida_tesouraria | G133   | 4705          | P:  G: 126                                                   | P52        | 3746        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G: 136                                                   | G2          | 4053         | G100        | 3824         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 3746   | partida_triagem    | P52    | 4705          | P:  G:                                                       | R126       | 3750        | P:  G:                                                       | None        | inf.         | None        | inf.         | P: 52 G: 136                                                 | G2          | 4053         | G100        | 3824         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 3750   | partida_triagem    | R126   | 4705          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P: 52 G: 136                                                 | G2          | 4053         | G100        | 3824         | P:  G:                                                       | R126        | 3892         | P:  G:                                                       | None       | inf.        |
| 3824   | partida_balcao_B2  | G100   | 4705          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G: 136                                                   | G2          | 4053         | P52         | 4346         | P:  G:                                                       | R126        | 3892         | P:  G:                                                       | None       | inf.        |
| 3892   | partida_balcao_C1  | R126   | 4705          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G: 136                                                   | G2          | 4053         | P52         | 4346         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | R126       | 3977        |
| 3977   | partida_tesouraria | R126   | 4705          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G: 136                                                   | G2          | 4053         | P52         | 4346         | P:  G:                                                       | R126        | 4037         | P:  G:                                                       | None       | inf.        |
| 4037   | partida_balcao_C1  | R126   | 4705          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G: 136                                                   | G2          | 4053         | P52         | 4346         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 4053   | partida_balcao_B1  | G2     | 4705          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G136        | 4711         | P52         | 4346         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | G2         | 4113        |
| 4113   | partida_tesouraria | G2     | 4705          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G136        | 4711         | P52         | 4346         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 4346   | partida_balcao_B2  | P52    | 4705          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G136        | 4711         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | P52        | 4406        |
| 4406   | partida_tesouraria | P52    | 4705          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G136        | 4711         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 4705   | chegada            | G120   | 5807          | P:  G:                                                       | G120       | 4765        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G136        | 4711         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 4711   | partida_balcao_B1  | G136   | 5807          | P:  G:                                                       | G120       | 4765        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 4765   | partida_triagem    | G120   | 5807          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G120        | 5933         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 5807   | chegada            | P4     | 6084          | P:  G:                                                       | P4         | 5856        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G120        | 5933         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 5856   | partida_triagem    | P4     | 6084          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G120        | 5933         | None        | inf.         | P:  G:                                                       | P4          | 6872         | P:  G:                                                       | None       | inf.        |
| 5933   | partida_balcao_B1  | G120   | 6084          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | P4          | 6872         | P:  G:                                                       | G120       | 6037        |
| 6037   | partida_tesouraria | G120   | 6084          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | P4          | 6872         | P:  G:                                                       | None       | inf.        |
| 6084   | chegada            | G11    | 6435          | P:  G:                                                       | G11        | 6085        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | P4          | 6872         | P:  G:                                                       | None       | inf.        |
| 6085   | partida_triagem    | G11    | 6435          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G11         | 6792         | None        | inf.         | P:  G:                                                       | P4          | 6872         | P:  G:                                                       | None       | inf.        |
| 6435   | chegada            | R106   | 6866          | P:  G:                                                       | R106       | 6439        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G11         | 6792         | None        | inf.         | P:  G:                                                       | P4          | 6872         | P:  G:                                                       | None       | inf.        |
| 6439   | partida_triagem    | R106   | 6866          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | R106        | 6630         | None        | inf.         | P:  G:                                                       | G11         | 6792         | None        | inf.         | P:  G:                                                       | P4          | 6872         | P:  G:                                                       | None       | inf.        |
| 6630   | partida_balcao_A1  | R106   | 6866          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | G11         | 6792         | None        | inf.         | P:  G:                                                       | P4          | 6872         | P:  G:                                                       | R106       | 6735        |
| 6735   | partida_tesouraria | R106   | 6866          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | R106        | 7537         | None        | inf.         | P:  G:                                                       | G11         | 6792         | None        | inf.         | P:  G:                                                       | P4          | 6872         | P:  G:                                                       | None       | inf.        |
| 6792   | partida_balcao_B1  | G11    | 6866          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | R106        | 7537         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | P4          | 6872         | P:  G:                                                       | None       | inf.        |
| 6866   | chegada            | G65    | 7250          | P:  G:                                                       | G65        | 6951        | P:  G:                                                       | R106        | 7537         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | P4          | 6872         | P:  G:                                                       | None       | inf.        |
| 6872   | partida_balcao_C1  | P4     | 7250          | P:  G:                                                       | G65        | 6951        | P:  G:                                                       | R106        | 7537         | None        | inf.         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | P4         | 6961        |
| 6951   | partida_triagem    | G65    | 7250          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | R106        | 7537         | G65         | 8341         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | P4         | 6961        |
| 6961   | partida_tesouraria | P4     | 7250          | P:  G:                                                       | None       | inf.        | P:  G:                                                       | R106        | 7537         | G65         | 8341         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
| 7250   | chegada            | G71    | 8203          | P:  G:                                                       | G71        | 7260        | P:  G:                                                       | R106        | 7537         | G65         | 8341         | P:  G:                                                       | None        | inf.         | None        | inf.         | P:  G:                                                       | None        | inf.         | P:  G:                                                       | None       | inf.        |
